"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.1043,-0.18453,0,1.5709,1,0.791,0.791,0.5,0
-0.10364,-0.1845,0,1.5721,1,0.792,0.792,0.5,0
-0.10298,-0.18447,0,1.5733,1,0.793,0.793,0.5,0
-0.10232,-0.18444,0,1.5746,1,0.794,0.794,0.5,0
-0.10166,-0.18441,0,1.5758,1,0.795,0.795,0.5,0
-0.101,-0.18438,0,1.577,1,0.796,0.796,0.5,0
-0.10034,-0.18435,0,1.5782,1,0.797,0.797,0.5,0
-0.099676,-0.18432,0,1.5795,1,0.798,0.798,0.5,0
-0.099015,-0.18429,0,1.5807,1,0.799,0.799,0.5,0
-0.098354,-0.18426,0,1.5819,1,0.8,0.8,0.5,0
-0.097685,-0.18415,0,1.5828,1,0.801,0.801,0.5,0
-0.097015,-0.18405,0,1.5836,1,0.802,0.802,0.5,0
-0.096346,-0.18394,0,1.5845,1,0.803,0.803,0.5,0
-0.095676,-0.18384,0,1.5853,1,0.804,0.804,0.5,0
-0.095007,-0.18373,0,1.5862,1,0.805,0.805,0.5,0
-0.094337,-0.18363,0,1.5871,1,0.806,0.806,0.5,0
-0.093668,-0.18352,0,1.5879,1,0.807,0.807,0.5,0
-0.092998,-0.18341,0,1.5888,1,0.808,0.808,0.5,0
-0.092328,-0.18331,0,1.5896,1,0.809,0.809,0.5,0
-0.091659,-0.1832,0,1.5905,1,0.81,0.81,0.5,0
-0.090984,-0.18302,0,1.591,1,0.811,0.811,0.5,0
-0.090309,-0.18284,0,1.5914,1,0.812,0.812,0.5,0
-0.089633,-0.18265,0,1.5919,1,0.813,0.813,0.5,0
-0.088958,-0.18247,0,1.5924,1,0.814,0.814,0.5,0
-0.088283,-0.18229,0,1.5929,1,0.815,0.815,0.5,0
-0.087608,-0.1821,0,1.5933,1,0.816,0.816,0.5,0
-0.086932,-0.18192,0,1.5938,1,0.817,0.817,0.5,0
-0.086257,-0.18174,0,1.5943,1,0.818,0.818,0.5,0
-0.085582,-0.18155,0,1.5948,1,0.819,0.819,0.5,0
-0.084907,-0.18137,0,1.5953,1,0.82,0.82,0.5,0
-0.084229,-0.1811,0,1.5953,1,0.821,0.821,0.5,0
-0.083551,-0.18084,0,1.5954,1,0.822,0.822,0.5,0
-0.082873,-0.18057,0,1.5955,1,0.823,0.823,0.5,0
-0.082195,-0.18031,0,1.5956,1,0.824,0.824,0.5,0
-0.081517,-0.18005,0,1.5956,1,0.825,0.825,0.5,0
-0.080839,-0.17978,0,1.5957,1,0.826,0.826,0.5,0
-0.080161,-0.17952,0,1.5958,1,0.827,0.827,0.5,0
-0.079484,-0.17925,0,1.5959,1,0.828,0.828,0.5,0
-0.078806,-0.17899,0,1.596,1,0.829,0.829,0.5,0
-0.078128,-0.17872,0,1.596,1,0.83,0.83,0.5,0
-0.077451,-0.17838,0,1.5957,1,0.831,0.831,0.5,0
-0.076773,-0.17803,0,1.5954,1,0.832,0.832,0.5,0
-0.076096,-0.17768,0,1.595,1,0.833,0.833,0.5,0
-0.075419,-0.17733,0,1.5947,1,0.834,0.834,0.5,0
-0.074742,-0.17698,0,1.5944,1,0.835,0.835,0.5,0
-0.074065,-0.17664,0,1.594,1,0.836,0.836,0.5,0
-0.073388,-0.17629,0,1.5937,1,0.837,0.837,0.5,0
-0.07271,-0.17594,0,1.5933,1,0.838,0.838,0.5,0
-0.072033,-0.17559,0,1.593,1,0.839,0.839,0.5,0
-0.071356,-0.17525,0,1.5927,1,0.84,0.84,0.5,0
-0.070683,-0.17481,0,1.5919,1,0.841,0.841,0.5,0
-0.07001,-0.17438,0,1.5911,1,0.842,0.842,0.5,0
-0.069338,-0.17394,0,1.5904,1,0.843,0.843,0.5,0
-0.068665,-0.17351,0,1.5896,1,0.844,0.844,0.5,0
-0.067992,-0.17308,0,1.5889,1,0.845,0.845,0.5,0
-0.067319,-0.17264,0,1.5881,1,0.846,0.846,0.5,0
-0.066646,-0.17221,0,1.5873,1,0.847,0.847,0.5,0
-0.065974,-0.17178,0,1.5866,1,0.848,0.848,0.5,0
-0.065301,-0.17134,0,1.5858,1,0.849,0.849,0.5,0
-0.064628,-0.17091,0,1.585,1,0.85,0.85,0.5,0
-0.063963,-0.17039,0,1.5838,1,0.851,0.851,0.5,0
-0.063299,-0.16987,0,1.5826,1,0.852,0.852,0.5,0
-0.062634,-0.16935,0,1.5814,1,0.853,0.853,0.5,0
-0.06197,-0.16883,0,1.5802,1,0.854,0.854,0.5,0
-0.061305,-0.16831,0,1.579,1,0.855,0.855,0.5,0
-0.06064,-0.16779,0,1.5778,1,0.856,0.856,0.5,0
-0.059976,-0.16727,0,1.5766,1,0.857,0.857,0.5,0
-0.059311,-0.16675,0,1.5754,1,0.858,0.858,0.5,0
-0.058647,-0.16622,0,1.5742,1,0.859,0.859,0.5,0
-0.057982,-0.1657,0,1.573,1,0.86,0.86,0.5,0
-0.05733,-0.16509,0,1.5713,1,0.861,0.861,0.5,0
-0.056677,-0.16448,0,1.5697,1,0.862,0.862,0.5,0
-0.056025,-0.16387,0,1.568,1,0.863,0.863,0.5,0
-0.055373,-0.16326,0,1.5663,1,0.864,0.864,0.5,0
-0.054721,-0.16266,0,1.5647,1,0.865,0.865,0.5,0
-0.054069,-0.16205,0,1.563,1,0.866,0.866,0.5,0
