"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.030396,1.0363e-06,0,0.33736,1,0.048,0.5,0.048,0
-0.030975,1.0686e-06,0,0.33736,1,0.049,0.5,0.049,0
-0.031555,1.1009e-06,0,0.33736,1,0.05,0.5,0.05,0
-0.032113,1.1353e-06,0,0.33736,1,0.051,0.5,0.051,0
-0.032671,1.1697e-06,0,0.33736,1,0.052,0.5,0.052,0
-0.03323,1.2041e-06,0,0.33736,1,0.053,0.5,0.053,0
-0.033788,1.2385e-06,0,0.33736,1,0.054,0.5,0.054,0
-0.034346,1.273e-06,0,0.33736,1,0.055,0.5,0.055,0
-0.034905,1.3074e-06,0,0.33735,1,0.056,0.5,0.056,0
-0.035463,1.3418e-06,0,0.33735,1,0.057,0.5,0.057,0
-0.036021,1.3762e-06,0,0.33735,1,0.058,0.5,0.058,0
-0.03658,1.4106e-06,0,0.33735,1,0.059,0.5,0.059,0
-0.037138,1.445e-06,0,0.33735,1,0.06,0.5,0.06,0
-0.037677,1.4811e-06,0,0.33735,1,0.061,0.5,0.061,0
-0.038216,1.5172e-06,0,0.33735,1,0.062,0.5,0.062,0
-0.038756,1.5532e-06,0,0.33735,1,0.063,0.5,0.063,0
-0.039295,1.5893e-06,0,0.33734,1,0.064,0.5,0.064,0
-0.039834,1.6254e-06,0,0.33734,1,0.065,0.5,0.065,0
-0.040373,1.6615e-06,0,0.33734,1,0.066,0.5,0.066,0
-0.040912,1.6975e-06,0,0.33734,1,0.067,0.5,0.067,0
-0.041452,1.7336e-06,0,0.33734,1,0.068,0.5,0.068,0
-0.041991,1.7697e-06,0,0.33734,1,0.069,0.5,0.069,0
-0.04253,1.8058e-06,0,0.33734,1,0.07,0.5,0.07,0
-0.043052,1.8435e-06,0,0.33733,1,0.071,0.5,0.071,0
-0.043574,1.8813e-06,0,0.33733,1,0.072,0.5,0.072,0
-0.044096,1.9191e-06,0,0.33733,1,0.073,0.5,0.073,0
-0.044618,1.9569e-06,0,0.33733,1,0.074,0.5,0.074,0
-0.04514,1.9946e-06,0,0.33732,1,0.075,0.5,0.075,0
-0.045662,2.0324e-06,0,0.33732,1,0.076,0.5,0.076,0
-0.046184,2.0702e-06,0,0.33732,1,0.077,0.5,0.077,0
-0.046706,2.108e-06,0,0.33732,1,0.078,0.5,0.078,0
-0.047228,2.1457e-06,0,0.33732,1,0.079,0.5,0.079,0
-0.04775,2.1835e-06,0,0.33731,1,0.08,0.5,0.08,0
-0.048256,2.2236e-06,0,0.33731,1,0.081,0.5,0.081,0
-0.048763,2.2637e-06,0,0.33731,1,0.082,0.5,0.082,0
-0.049269,2.3039e-06,0,0.3373,1,0.083,0.5,0.083,0
-0.049776,2.344e-06,0,0.3373,1,0.084,0.5,0.084,0
-0.050282,2.3841e-06,0,0.3373,1,0.085,0.5,0.085,0
-0.050789,2.4242e-06,0,0.3373,1,0.086,0.5,0.086,0
-0.051295,2.4644e-06,0,0.33729,1,0.087,0.5,0.087,0
-0.051801,2.5045e-06,0,0.33729,1,0.088,0.5,0.088,0
-0.052308,2.5446e-06,0,0.33729,1,0.089,0.5,0.089,0
-0.052814,2.5847e-06,0,0.33728,1,0.09,0.5,0.09,0
-0.053307,2.6284e-06,0,0.33728,1,0.091,0.5,0.091,0
-0.0538,2.672e-06,0,0.33728,1,0.092,0.5,0.092,0
-0.054292,2.7156e-06,0,0.33727,1,0.093,0.5,0.093,0
-0.054785,2.7592e-06,0,0.33727,1,0.094,0.5,0.094,0
-0.055277,2.8029e-06,0,0.33727,1,0.095,0.5,0.095,0
-0.05577,2.8465e-06,0,0.33726,1,0.096,0.5,0.096,0
-0.056262,2.8901e-06,0,0.33726,1,0.097,0.5,0.097,0
-0.056755,2.9337e-06,0,0.33725,1,0.098,0.5,0.098,0
-0.057248,2.9774e-06,0,0.33725,1,0.099,0.5,0.099,0
-0.05774,3.021e-06,0,0.33725,1,0.1,0.5,0.1,0
-0.05822,3.0697e-06,0,0.33724,1,0.101,0.5,0.101,0
-0.0587,3.1184e-06,0,0.33724,1,0.102,0.5,0.102,0
-0.059181,3.167e-06,0,0.33723,1,0.103,0.5,0.103,0
-0.059661,3.2157e-06,0,0.33723,1,0.104,0.5,0.104,0
-0.060141,3.2644e-06,0,0.33722,1,0.105,0.5,0.105,0
-0.060621,3.3131e-06,0,0.33722,1,0.106,0.5,0.106,0
-0.061101,3.3617e-06,0,0.33721,1,0.107,0.5,0.107,0
-0.061581,3.4104e-06,0,0.33721,1,0.108,0.5,0.108,0
-0.062061,3.4591e-06,0,0.3372,1,0.109,0.5,0.109,0
-0.062542,3.5078e-06,0,0.3372,1,0.11,0.5,0.11,0
-0.063011,3.5636e-06,0,0.33719,1,0.111,0.5,0.111,0
-0.06348,3.6195e-06,0,0.33719,1,0.112,0.5,0.112,0
-0.063949,3.6754e-06,0,0.33718,1,0.113,0.5,0.113,0
-0.064418,3.7313e-06,0,0.33718,1,0.114,0.5,0.114,0
-0.064887,3.7871e-06,0,0.33717,1,0.115,0.5,0.115,0
-0.065356,3.843e-06,0,0.33717,1,0.116,0.5,0.116,0
-0.065825,3.8989e-06,0,0.33716,1,0.117,0.5,0.117,0
-0.066294,3.9548e-06,0,0.33715,1,0.118,0.5,0.118,0
-0.066763,4.0106e-06,0,0.33715,1,0.119,0.5,0.119,0
-0.067232,4.0665e-06,0,0.33714,1,0.12,0.5,0.12,0
-0.067692,4.1322e-06,0,0.33714,1,0.121,0.5,0.121,0
-0.068151,4.1978e-06,0,0.33713,1,0.122,0.5,0.122,0
-0.06861,4.2635e-06,0,0.33712,1,0.123,0.5,0.123,0
-0.069069,4.3291e-06,0,0.33711,1,0.124,0.5,0.124,0
-0.069529,4.3948e-06,0,0.33711,1,0.125,0.5,0.125,0
-0.069988,4.4604e-06,0,0.3371,1,0.126,0.5,0.126,0
-0.070447,4.5261e-06,0,0.33709,1,0.127,0.5,0.127,0
-0.070907,4.5917e-06,0,0.33709,1,0.128,0.5,0.128,0
-0.071366,4.6574e-06,0,0.33708,1,0.129,0.5,0.129,0
-0.071825,4.723e-06,0,0.33707,1,0.13,0.5,0.13,0
-0.072276,4.8014e-06,0,0.33707,1,0.131,0.5,0.131,0
-0.072726,4.8798e-06,0,0.33706,1,0.132,0.5,0.132,0
-0.073177,4.9582e-06,0,0.33705,1,0.133,0.5,0.133,0
-0.073627,5.0366e-06,0,0.33704,1,0.134,0.5,0.134,0
-0.074078,5.115e-06,0,0.33703,1,0.135,0.5,0.135,0
-0.074529,5.1934e-06,0,0.33702,1,0.136,0.5,0.136,0
-0.074979,5.2718e-06,0,0.33702,1,0.137,0.5,0.137,0
